[Starting] Opening the serial port - COM14
[Info] Opened the serial port - COM14
---BEGIN---
TIME	INPUT	OUTPUT	TS	GRADIENT
213361	1	292.50	253	0.00
213614	1	292.75	253	0.00
213866	1	292.75	252	0.00
214119	1	293.25	253	0.00
214372	1	293.25	253	0.00
214624	1	294.00	252	0.00
214877	1	294.00	253	0.00
215129	1	294.25	252	0.00
215382	1	294.75	253	0.00
215634	1	295.25	252	0.00
215886	1	295.00	252	-0.00
216139	1	295.50	253	0.00
216392	1	296.00	253	0.00
216644	1	296.50	252	0.00
216897	1	296.50	253	0.00
217149	1	297.00	252	0.00
217402	1	297.25	253	0.00
217655	1	297.25	253	0.00
217907	1	297.50	252	0.00
218160	1	298.00	253	0.00
218413	1	297.75	253	-0.00
218664	1	298.50	251	0.00
218917	1	299.00	253	0.00
219169	1	299.25	252	0.00
219422	1	299.50	253	0.00
219675	1	299.50	253	0.00
219927	1	300.00	252	0.00
220180	1	299.75	253	-0.00
220433	1	300.75	253	0.00
220685	1	300.75	252	0.00
220938	1	301.00	253	0.00
221190	1	301.50	252	0.00
221443	1	302.00	253	0.00
221696	1	301.75	253	-0.00
221947	1	302.50	251	0.00
222200	1	302.50	253	0.00
222453	1	303.00	253	0.00
222705	1	302.75	252	-0.00
222958	1	303.75	253	0.00
223210	1	303.50	252	-0.00
223463	1	304.50	253	0.00
223716	1	304.50	253	0.00
223968	1	304.25	252	-0.00
224221	1	304.75	253	0.00
224474	1	305.25	253	0.00
224726	1	305.25	252	0.00
224978	1	305.50	252	0.00
225230	1	306.00	252	0.00
225483	1	306.00	253	0.00
225736	1	306.25	253	0.00
225988	1	306.75	252	0.00
